Id,Sch,Gr,ClType,HDeg,CLad,Exp,Trace,Read,Math,SES,SchType,Sx,Eth,BirthQ,BirthY,Yrs,Tch
3185,7,3,reg,BS/BA,1,24,W,559,596,F,rural,F,W,1979:1,1979,3,107
12490,12,1,reg+A,BS/BA,1,39,W,604,592,N,rural,M,W,1980:3,1980,1,195
45482,59,1,small,BS/BA,1,5,W,451,529,N,urban,M,W,1980:3,1980,1,1021
175761,75,K,small,BS/BA,1,3,W,405,434,N,rural,F,W,1980:1,1980,0,1303
59510,73,1,reg+A,MS/MA/MEd,1,11,W,558,584,F,rural,M,W,1979:4,1979,1,1278
105526,11,1,reg,MS/MA/MEd,1,11,W,558,542,N,rural,M,W,1979:4,1979,1,179
91165,9,1,reg,BS/BA,1,11,W,509,549,F,urban,F,W,1980:2,1980,1,143
61207,14,3,reg+A,BS/BA,PROB,0,W,624,614,F,inner,F,B,1979:4,1979,3,227
107818,41,2,small,BS/BA,1,19,W,643,648,N,suburb,M,W,1979:3,1979,2,702
102753,51,1,reg,MS/MA/MEd,1,12,W,495,510,F,suburb,M,W,1980:1,1980,1,863
43638,50,2,reg,BS/BA,NOT,13,W,562,584,F,rural,M,W,1979:4,1979,2,842
82545,68,K,reg+A,BS/BA,1,10,W,474,463,N,rural,F,W,1980:1,1980,0,1179
107143,20,3,reg,BS/BA,1,7,B,587,556,F,suburb,F,B,1979:4,1979,3,327
158160,39,2,small,Ed.D/Ph.D,3,12,W,643,626,F,rural,F,W,1980:1,1980,2,670
135334,11,3,small,BS/BA,1,14,W,728,672,N,rural,F,W,1979:4,1979,3,186
123400,52,1,reg+A,MS/MA/MEd,1,13,W,494,490,F,suburb,M,B,1979:4,1979,1,899
15390,56,2,small,MS/MA/MEd,NOT,29,B,591,607,N,rural,M,W,1980:2,1980,2,968
66649,17,K,reg+A,BS/BA,1,8,B,442,520,N,suburb,M,W,1981:3,1981,0,269
15905,53,1,reg,BS/BA,NOT,8,B,433,479,F,inner,M,W,1980:1,1980,1,915
93849,32,2,small,BS/BA,1,30,B,552,572,F,inner,M,B,1980:3,1980,2,556
89337,45,3,small,MS/MA/MEd,3,18,B,626,620,F,inner,M,B,1979:3,1979,3,756
40064,9,2,small,MS/MA/MEd,APPR,23,W,650,699,N,urban,F,W,1980:1,1980,2,150
125615,43,2,reg,BS/BA,1,20,B,564,538,N,suburb,M,W,1980:1,1980,2,724
29823,8,2,reg,MS/MA/MEd,1,10,W,637,552,N,rural,F,W,1980:1,1980,2,124
96810,8,K,small,BS/BA,1,8,W,437,459,N,rural,F,W,1980:3,1980,0,111
89719,12,1,reg+A,BS/BA,1,39,W,536,529,N,rural,F,W,1979:4,1979,1,195
103137,17,2,small,BS/BA,1,18,W,637,620,N,suburb,F,A,1980:1,1980,2,274
180187,55,1,reg,BS/BA,1,11,W,509,553,N,rural,M,W,1980:3,1980,1,947
30398,70,K,reg+A,BS/BA,2,27,W,382,434,N,rural,M,W,1980:2,1980,0,1218
51606,74,3,reg+A,MS/MA/MEd,1,19,B,610,608,F,rural,M,W,1979:4,1979,3,1301
150119,66,3,small,BS/BA,1,5,W,647,645,N,rural,M,W,1979:4,1979,3,1157
84398,21,1,reg,MS/MA/MEd,1,23,W,436,433,N,suburb,M,W,1980:2,1980,1,337
163486,36,1,small,BS/BA,3,19,W,651,572,N,suburb,M,W,1980:2,1980,1,626
13046,34,2,reg+A,MS/MA/MEd,1,8,W,575,557,N,rural,M,W,1979:4,1979,2,600
8764,59,3,reg+A,MS/MA/MEd,1,7,W,595,612,N,urban,F,W,1980:2,1980,3,1033
60465,26,3,reg,MS/MA/MEd,1,22,W,626,604,F,inner,F,B,1980:1,1980,3,444
86231,29,3,reg,BS/BA,PROB,2,W,636,604,F,inner,F,B,1979:4,1979,3,513
168315,27,K,reg,BS/BA,1,12,B,478,536,F,inner,F,B,1980:3,1980,0,450
151421,77,2,reg,BS/BA,1,20,W,559,584,F,rural,F,W,1979:2,1979,2,1337
77787,17,3,small,BS/BA,NOT,8,B,559,555,N,suburb,M,W,1979:3,1979,3,278
155245,40,1,small,BS/BA,APPR,2,W,564,545,N,rural,M,W,1980:2,1980,1,681
60843,46,1,reg+A,BS/BA,APPR,3,W,475,542,N,suburb,M,W,1979:3,1979,1,766
104158,51,3,reg+A,BS/BA,1,14,B,578,655,F,suburb,F,B,1978:2,1978,3,888
48321,1,2,small,BS/BA,1,8,W,622,659,N,rural,F,W,1980:1,1980,2,10
70719,65,2,reg,MS/MA/MEd,1,9,W,622,593,N,rural,F,W,1980:1,1980,2,1131
2904,47,1,reg+A,BS/BA,APPR,2,W,604,545,N,rural,F,W,1979:4,1979,1,784
132429,73,2,reg,BS/BA,1,19,W,614,599,N,rural,M,W,1980:2,1980,2,1280
115533,80,K,reg,MS/MA/MEd,1,4,W,425,449,N,rural,M,W,1980:2,1980,0,1376
105113,53,K,reg,MS/MA/MEd,PROB,3,B,378,392,F,inner,M,W,1980:3,1980,0,911
127258,4,K,reg,BS/BA,1,8,W,407,444,N,suburb,M,W,1980:3,1980,0,53
40967,57,K,reg,BS/BA,APPR,2,W,425,454,N,rural,M,W,1979:4,1979,0,980
32246,39,3,reg,MS/MA/MEd,1,18,W,641,678,F,rural,F,W,1979:4,1979,3,675
133393,4,2,reg+A,BS/BA,1,33,W,643,607,N,suburb,F,B,1980:1,1980,2,62
103067,4,1,reg,MS/MA/MEd,1,8,W,436,449,F,suburb,M,W,1979:3,1979,1,57
170583,74,2,reg,BS/BA,1,19,W,618,632,F,rural,M,W,1979:4,1979,2,1296
64455,24,1,reg,BS/BA,PROB,2,B,590,535,N,suburb,F,B,1979:4,1979,1,404
143258,40,K,reg,BS/BA,APPR,2,W,453,506,F,rural,F,W,1980:3,1980,0,679
100473,68,2,reg,BS/BA,1,31,W,557,552,N,rural,M,W,1979:3,1979,2,1191
81424,25,2,reg,BS/BA,1,7,B,627,509,F,suburb,F,B,1980:1,1980,2,427
156508,78,3,reg,Ed.S,1,13,W,624,651,F,rural,M,W,1980:2,1980,3,1356
60904,9,3,reg+A,MS/MA/MEd,1,16,W,590,594,N,urban,F,W,1979:4,1979,3,160
127377,23,2,reg,BS/BA,1,2,B,555,557,F,suburb,F,B,1980:1,1980,2,390
38224,3,2,reg,BS/BA,NOT,23,W,511,523,N,rural,M,W,1979:1,1979,2,44
145916,63,2,reg+A,BS/BA,1,8,W,571,587,N,rural,M,W,1980:2,1980,2,1094
119851,35,3,reg+A,BS/BA,1,10,W,633,606,F,rural,M,B,1980:3,1980,3,621
5976,3,2,reg+A,BS/BA,1,11,W,732,674,N,rural,M,B,1979:4,1979,2,46
103519,62,K,small,MS/MA/MEd,1,6,W,439,500,N,rural,F,W,1980:1,1980,0,1063
41197,69,3,reg,BS/BA,1,7,W,644,678,F,rural,F,W,1980:2,1980,3,1212
130305,5,2,small,BS/BA,3,12,W,614,596,N,rural,M,W,1980:1,1980,2,74
167846,15,3,small,BS/BA,1,11,W,622,550,F,inner,F,B,1979:4,1979,3,239
6040,71,1,reg+A,BS/BA,1,6,W,540,557,N,rural,F,W,1979:4,1979,1,1240
167577,26,K,reg+A,BS/BA,1,6,B,427,478,F,inner,F,B,1980:3,1980,0,435
118509,14,K,reg+A,BS/BA,APPR,1,B,425,449,F,inner,F,B,1980:2,1980,0,217
117718,48,1,small,MS/MA/MEd,1,14,W,507,474,F,urban,F,W,1979:4,1979,1,798
151657,66,1,reg,BS/BA,PROB,0,W,453,493,F,rural,M,W,1980:3,1980,1,1146
122790,66,1,small,BS/BA,1,8,W,544,545,N,rural,M,W,1979:4,1979,1,1145
2710,75,3,reg,BS/BA,1,19,W,585,596,N,rural,M,W,1979:4,1979,3,1319
101084,20,1,reg,BS/BA,1,11,W,540,505,N,suburb,M,B,1980:2,1980,1,317
163754,27,K,reg+A,BS/BA,1,20,B,465,506,F,inner,F,B,1980:3,1980,0,452
169484,24,2,reg+A,BS/BA,1,28,B,588,590,N,suburb,F,B,1980:2,1980,2,411
154976,51,2,reg,BS/BA,1,17,W,586,568,F,suburb,M,B,1978:1,1978,2,876
160641,26,3,reg+A,MS/MA/MEd,2,13,B,587,559,F,inner,M,B,1979:1,1979,3,445
139934,23,K,small,BS/BA,PROB,0,W,478,626,N,suburb,M,B,1980:2,1980,0,379
17421,54,2,reg+A,MS/MA/MEd,1,19,W,622,603,F,suburb,M,W,1980:2,1980,2,936
38844,8,3,small,BS/BA,1,10,W,675,684,F,rural,F,W,1980:2,1980,3,127
171601,79,K,small,BS/BA,1,5,W,439,559,N,rural,F,W,1980:1,1980,0,1358
80507,19,K,small,BS/BA,APPR,2,W,433,506,F,inner,M,B,1980:3,1980,0,286
163354,41,2,reg+A,MS/MA/MEd,NOT,15,W,709,699,N,suburb,M,W,1979:3,1979,2,705
94367,9,2,reg,BS/BA,NOT,15,W,586,611,N,urban,F,W,1980:1,1980,2,151
20088,57,K,reg+A,MS/MA/MEd,1,8,W,425,478,N,rural,M,W,1979:4,1979,0,981
116913,18,K,reg+A,MS/MA/MEd,1,11,W,421,536,N,inner,M,W,1980:1,1980,0,285
15114,23,2,reg+A,BS/BA,1,5,B,542,546,N,suburb,M,B,1979:3,1979,2,393
106191,46,2,small,BS/BA,APPR,1,W,549,593,N,suburb,M,W,1979:1,1979,2,767
112393,40,1,small,BS/BA,NOT,27,W,524,529,N,rural,M,W,1979:3,1979,1,682
22550,40,1,small,BS/BA,APPR,2,W,480,549,N,rural,F,W,1979:4,1979,1,681
29696,64,K,small,BS/BA,1,19,W,565,489,N,rural,F,W,1980:1,1980,0,1102
127083,60,K,reg,MA+,1,13,W,439,463,N,urban,M,W,1979:3,1979,0,1036
97870,54,3,reg,BS/BA,1,30,W,650,606,N,suburb,F,W,1980:2,1980,3,939
137281,8,1,small,MS/MA/MEd,1,14,W,519,535,N,rural,F,W,1980:1,1980,1,117
165569,19,3,reg,MS/MA/MEd,3,16,W,585,591,F,inner,M,B,1980:1,1980,3,307
50794,16,K,small,BS/BA,APPR,1,B,405,468,F,inner,F,B,1980:3,1980,0,242
83153,21,2,reg,BS/BA,1,10,B,596,582,N,suburb,F,W,1980:1,1980,2,343
162026,79,1,reg+A,BS/BA,1,21,W,483,490,F,rural,F,W,1980:3,1980,1,1366
20088,57,3,reg+A,BS/BA,1,7,W,629,645,N,rural,M,W,1979:4,1979,3,993
174346,61,K,reg+A,MS/MA/MEd,1,8,W,425,520,N,suburb,F,W,1980:3,1980,0,1050
58992,33,1,small,BS/BA,NOT,26,B,519,535,F,inner,F,B,1980:1,1980,1,573
186121,70,K,reg+A,BS/BA,1,14,W,413,423,F,rural,F,W,1980:3,1980,0,1217
151910,41,2,reg,BS/BA,1,4,W,631,639,N,suburb,F,A,1979:4,1979,2,703
154554,7,K,reg+A,BS/BA,2,9,W,538,602,N,rural,F,W,1980:3,1980,0,90
40999,7,K,small,BS/BA,1,4,W,476,602,F,rural,M,W,1979:4,1979,0,85
23465,79,K,reg+A,MS/MA/MEd,1,12,W,419,468,F,rural,M,W,1980:3,1980,0,1362
111241,20,K,small,BS/BA,1,21,W,463,494,N,suburb,F,B,1979:3,1979,0,310
156103,27,1,reg,MS/MA/MEd,1,25,W,533,592,F,inner,F,B,1979:4,1979,1,458
20781,26,2,reg+A,MS/MA/MEd,1,13,W,637,639,N,inner,F,B,1980:2,1980,2,442
58684,60,1,small,BS/BA,1,12,W,474,507,F,urban,F,B,1980:2,1980,1,1038
122921,51,1,reg+A,MS/MA/MEd,1,20,W,540,532,N,suburb,M,W,1980:3,1980,1,871
118416,51,1,reg,MS/MA/MEd,1,13,W,495,535,N,suburb,M,W,1980:1,1980,1,865
173578,12,K,reg+A,BS/BA,1,12,W,440,528,F,rural,F,W,1980:3,1980,0,192
47024,51,K,reg+A,MA+,1,12,W,545,513,F,suburb,M,W,1980:1,1980,0,855
33128,73,1,reg+A,BS/BA,APPR,1,W,558,562,N,rural,M,W,1979:4,1979,1,1277
140558,80,K,reg,MS/MA/MEd,1,4,W,468,513,N,rural,F,W,1980:2,1980,0,1376
61632,29,3,small,MS/MA/MEd,NOT,31,W,657,634,F,inner,F,B,1980:1,1980,3,512
85297,1,K,small,Ed.S,1,14,W,480,528,N,rural,F,W,1980:1,1980,0,1
74283,73,2,small,BS/BA,1,13,W,550,554,F,rural,F,W,1980:3,1980,2,1279
162465,41,2,reg+A,MS/MA/MEd,NOT,15,W,539,561,N,suburb,F,W,1980:1,1980,2,705
64321,1,2,small,BS/BA,1,8,W,622,648,F,rural,M,W,1980:1,1980,2,10
130700,57,2,reg+A,BS/BA,1,6,B,602,577,N,rural,M,W,1979:2,1979,2,989
175385,50,1,small,BS/BA,NOT,6,W,433,441,F,rural,M,W,1979:3,1979,1,833
157881,59,3,reg,MS/MA/MEd,1,7,W,636,618,N,urban,F,W,1980:3,1980,3,1032
181983,7,3,reg,BS/BA,3,21,W,597,603,N,rural,M,W,1980:1,1980,3,106
87681,53,3,reg+A,BS/BA,1,7,W,675,663,N,inner,M,W,1980:1,1980,3,925
93895,64,3,reg,BS/BA,1,22,W,647,659,N,rural,M,W,1979:4,1979,3,1121
28365,1,2,reg+A,BS/BA,1,13,W,591,590,N,rural,M,W,1980:2,1980,2,13
136524,26,3,reg+A,MS/MA/MEd,2,13,B,633,585,F,inner,M,B,1980:2,1980,3,445
78281,7,3,reg,BS/BA,1,24,W,585,594,F,rural,M,B,1979:3,1979,3,107
175036,32,2,reg+A,BS/BA,1,14,W,552,552,F,inner,M,B,1980:2,1980,2,559
3624,31,1,reg,BS/BA,1,14,W,414,444,F,inner,M,B,1979:4,1979,1,533
111079,79,3,reg+A,MS/MA/MEd,1,9,W,595,603,N,rural,M,W,1979:4,1979,3,1374
18625,56,2,reg,BS/BA,1,15,W,542,565,N,rural,M,W,1980:1,1980,2,970
48668,40,1,small,BS/BA,APPR,2,W,590,584,N,rural,F,W,1980:2,1980,1,681
30327,2,3,reg+A,MS/MA/MEd,1,19,W,626,626,N,urban,M,W,1979:4,1979,3,30
155366,28,K,reg+A,MS/MA/MEd,1,10,B,474,478,F,inner,F,B,1979:4,1979,0,484
66200,74,1,reg+A,MS/MA/MEd,1,13,W,533,562,F,rural,M,W,1980:4,1980,1,1293
169433,80,K,reg+A,MS/MA/MEd,1,13,W,418,423,F,rural,F,W,1980:3,1980,0,1377
163849,66,2,reg+A,MS/MA/MEd,1,14,W,709,674,N,rural,M,W,1979:3,1979,2,1155
114102,40,1,small,BS/BA,NOT,27,W,488,515,F,rural,F,W,1979:4,1979,1,682
74023,34,2,reg+A,MS/MA/MEd,1,8,W,631,607,F,rural,M,W,1979:4,1979,2,600
22507,14,3,reg+A,BS/BA,PROB,0,W,592,582,F,inner,F,B,1979:3,1979,3,227
68286,31,2,small,BS/BA,PROB,1,W,524,533,F,inner,F,B,1980:2,1980,2,535
120222,61,1,reg+A,BS/BA,APPR,1,W,521,518,N,suburb,M,W,1980:2,1980,1,1053
5102,57,1,small,MS/MA/MEd,1,10,W,544,505,N,rural,F,W,1980:2,1980,1,982
111547,54,2,reg,BS/BA,1,14,W,614,559,N,suburb,F,W,1980:3,1980,2,935
74910,38,2,reg,BS/BA,3,14,W,549,559,F,rural,F,W,1979:2,1979,2,656
77296,57,3,small,MS/MA/MEd,1,11,W,614,618,N,rural,M,B,1979:1,1979,3,990
97199,45,K,reg,BS/BA,1,12,W,386,439,F,inner,M,B,1980:1,1980,0,748
185720,30,2,reg,BS/BA,APPR,1,W,496,500,F,inner,F,B,1979:4,1979,2,524
140905,52,2,reg,BS/BA,1,9,W,577,535,F,suburb,M,B,1980:3,1980,2,903
147369,11,3,reg+A,MS/MA/MEd,1,14,W,612,610,F,rural,M,W,1979:3,1979,3,189
44891,38,K,reg+A,MS/MA/MEd,1,8,W,416,449,F,rural,F,W,1980:3,1980,0,651
142522,73,1,reg+A,MS/MA/MEd,1,11,W,604,612,N,rural,F,W,1980:3,1980,1,1278
144368,30,2,reg+A,MS/MA/MEd,1,32,B,586,522,F,inner,F,B,1980:1,1980,2,525
173169,23,1,small,MS/MA/MEd,1,12,B,629,553,N,suburb,F,B,1980:1,1980,1,385
64102,74,K,small,BS/BA,1,14,W,430,489,F,rural,F,B,1979:4,1979,0,1288
127198,23,2,reg,BS/BA,1,2,B,515,526,N,suburb,F,B,1980:2,1980,2,390
75830,5,1,reg+A,MS/MA/MEd,APPR,8,W,469,497,N,rural,M,W,1979:4,1979,1,73
83643,44,3,small,BS/BA,1,7,B,570,588,F,suburb,M,B,1980:3,1980,3,743
42057,9,K,reg,BS/BA,1,8,W,461,506,N,urban,F,W,1980:3,1980,0,137
67846,8,2,small,BS/BA,1,20,W,575,599,N,rural,M,W,1979:4,1979,2,123
59369,51,2,reg,MS/MA/MEd,1,31,W,550,556,N,suburb,M,B,1980:3,1980,2,878
43898,40,2,small,MS/MA/MEd,2,28,W,564,570,F,rural,F,W,1980:3,1980,2,686
162845,69,1,reg+A,BS/BA,3,16,W,629,542,N,rural,F,W,1980:2,1980,1,1205
96060,26,2,small,BS/BA,PROB,3,W,523,504,F,inner,M,B,1980:2,1980,2,439
49424,57,3,reg,BS/BA,PROB,3,W,582,565,N,rural,F,W,1980:1,1980,3,992
95951,34,1,reg,BS/BA,1,6,W,505,545,N,rural,M,W,1979:1,1979,1,595
22732,61,K,small,MS/MA/MEd,1,7,W,445,484,N,suburb,F,W,1980:2,1980,0,1047
134684,21,3,reg+A,BS/BA,1,25,B,585,562,N,suburb,F,W,1980:2,1980,3,349
60167,49,3,reg+A,MS/MA/MEd,2,17,W,600,614,N,rural,M,W,1980:4,1980,3,827
156350,31,K,reg,BS/BA,PROB,0,W,439,506,F,inner,M,B,1980:2,1980,0,530
163754,27,1,reg+A,BS/BA,APPR,3,W,448,463,F,inner,F,B,1980:3,1980,1,460
103247,16,K,reg,MA+,1,8,W,411,423,F,inner,F,B,1980:1,1980,0,244
139568,72,1,reg+A,BS/BA,1,14,B,465,500,F,rural,M,W,1980:1,1980,1,1260
112284,78,3,reg+A,MS/MA/MEd,1,8,W,573,594,N,rural,M,W,1980:2,1980,3,1357
139152,65,3,reg+A,BS/BA,NOT,2,W,650,639,F,rural,F,W,1980:1,1980,3,1136
174216,24,K,small,BS/BA,2,13,W,437,478,N,suburb,F,B,1980:4,1980,0,400
108315,63,K,small,BS/BA,1,7,W,434,473,F,rural,F,W,1980:3,1980,0,1076
51127,4,K,reg+A,BS/BA,1,7,W,424,513,N,suburb,M,B,1979:4,1979,0,54
150112,57,K,reg+A,MS/MA/MEd,1,8,W,442,444,N,rural,M,W,1980:1,1980,0,981
5008,7,K,reg,MS/MA/MEd,1,15,W,453,520,F,rural,F,W,1980:1,1980,0,88
30524,66,K,reg+A,BS/BA,1,13,W,514,484,F,rural,M,W,1980:2,1980,0,1142
152685,67,1,reg+A,BS/BA,1,10,W,501,572,N,rural,M,W,1979:2,1979,1,1168
132541,15,K,reg,MS/MA/MEd,1,11,B,410,434,F,inner,F,B,1980:2,1980,0,230
147265,64,3,small,BS/BA,3,17,W,657,684,N,rural,M,W,1980:1,1980,3,1118
60262,51,1,small,BS/BA,NOT,23,W,512,507,N,suburb,M,B,1979:4,1979,1,859
13929,10,1,small,MS/MA/MEd,1,15,W,590,578,F,urban,M,W,1980:3,1980,1,165
18369,17,2,reg,BS/BA,NOT,12,W,618,579,N,suburb,F,W,1980:1,1980,2,276
20459,24,1,reg,BS/BA,PROB,2,B,490,512,F,suburb,M,B,1980:3,1980,1,404
153319,54,1,reg,BS/BA,APPR,3,W,505,567,N,suburb,M,W,1979:4,1979,1,931
49801,63,3,reg,BS/BA,1,9,W,602,622,N,rural,M,W,1978:3,1978,3,1099
58446,45,K,reg+A,BS/BA,1,11,W,419,418,N,inner,M,B,1980:2,1980,0,749
142983,4,1,reg+A,MS/MA/MEd,1,29,W,471,481,N,suburb,M,W,1979:4,1979,1,58
13561,2,1,reg,BS/BA,1,5,W,451,479,F,urban,M,W,1980:3,1980,1,23
171673,50,K,small,BS/BA,1,12,W,451,602,N,rural,F,W,1980:3,1980,0,829
186634,62,K,small,MS/MA/MEd,1,6,W,422,468,N,rural,M,W,1980:3,1980,0,1063
105350,41,2,reg,BS/BA,1,4,W,579,545,N,suburb,F,W,1979:4,1979,2,703
157297,51,K,reg+A,BS/BA,1,5,B,483,528,N,suburb,F,W,1980:1,1980,0,854
144966,24,3,small,MS/MA/MEd,1,24,B,661,726,N,suburb,M,B,1979:4,1979,3,414
130814,17,2,reg+A,BS/BA,1,12,B,579,546,N,suburb,M,W,1980:2,1980,2,277
5599,8,2,small,BS/BA,1,20,W,566,620,N,rural,M,W,1980:1,1980,2,123
100017,28,K,small,BS/BA,1,3,B,476,602,F,inner,F,B,1980:1,1980,0,478
71304,49,2,small,MS/MA/MEd,3,15,W,586,590,F,rural,M,W,1979:4,1979,2,821
57103,30,K,reg,BS/BA,1,10,B,384,484,F,inner,F,B,1980:1,1980,0,517
116817,23,K,small,BS/BA,PROB,0,W,439,576,N,suburb,M,B,1980:1,1980,0,379
182209,80,1,small,BS/BA,1,8,W,629,592,N,rural,F,W,1980:1,1980,1,1378
71720,14,2,reg+A,BS/BA,1,10,B,593,584,F,inner,M,B,1979:4,1979,2,224
150155,52,1,reg+A,MS/MA/MEd,1,13,W,494,584,N,suburb,F,W,1980:3,1980,1,899
64506,32,1,small,BS/BA,1,4,W,438,441,F,inner,M,B,1980:3,1980,1,549
61883,55,3,small,MS/MA/MEd,2,10,W,599,648,N,rural,M,W,1980:3,1980,3,953
13542,44,2,reg,BS/BA,1,3,B,577,582,F,suburb,F,B,1979:4,1979,2,739
17946,2,3,reg+A,MS/MA/MEd,1,19,W,599,604,F,urban,F,B,1979:3,1979,3,30
84785,55,2,reg+A,MS/MA/MEd,2,11,W,602,530,N,rural,M,W,1980:1,1980,2,952
49622,1,2,reg,MS/MA/MEd,1,12,W,575,570,N,rural,F,W,1979:4,1979,2,11
152351,33,2,small,MS/MA/MEd,1,26,B,618,611,F,inner,F,B,1980:1,1980,2,580
167435,27,3,reg+A,BS/BA,1,4,W,593,601,F,inner,F,B,1979:3,1979,3,474
66784,9,1,reg,BS/BA,1,11,W,540,584,N,urban,M,W,1980:1,1980,1,143
67433,74,1,reg+A,MS/MA/MEd,1,13,W,629,592,N,rural,M,W,1980:3,1980,1,1293
180904,12,2,reg,BS/BA,1,6,W,614,632,F,rural,M,W,1979:4,1979,2,197
144189,47,1,reg,BS/BA,1,12,W,499,472,N,rural,M,W,1980:2,1980,1,783
20088,57,1,reg+A,MS/MA/MEd,1,11,W,509,518,N,rural,M,W,1979:4,1979,1,985
118416,51,3,reg+A,MS/MA/MEd,2,15,W,552,573,N,suburb,M,W,1980:1,1980,3,889
174298,10,1,reg,MS/MA/MEd,1,3,W,475,529,N,urban,M,W,1980:3,1980,1,166
167022,44,1,small,BS/BA,APPR,1,W,503,567,F,suburb,F,W,1980:2,1980,1,734
122442,63,1,reg+A,BS/BA,1,9,W,540,553,N,rural,F,W,1980:3,1980,1,1086
133302,66,K,reg+A,BS/BA,1,3,W,402,418,N,rural,F,W,1979:4,1979,0,1141
149629,59,3,reg,MS/MA/MEd,1,7,W,647,645,F,urban,F,W,1980:2,1980,3,1032
88134,59,3,reg+A,MS/MA/MEd,1,7,W,616,614,F,urban,F,W,1978:4,1978,3,1033
14522,33,K,reg,MS/MA/MEd,PROB,6,W,397,418,F,inner,F,B,1979:3,1979,0,569
49037,72,K,reg+A,MS/MA/MEd,1,10,W,411,449,F,rural,M,W,1980:2,1980,0,1254
4814,13,K,reg,MS/MA/MEd,1,6,W,451,536,N,rural,F,W,1980:2,1980,0,205
90137,32,3,small,BS/BA,1,8,W,600,550,F,inner,F,B,1979:3,1979,3,561
5882,64,3,small,BS/BA,NOT,31,W,587,597,N,rural,M,W,1979:3,1979,3,1119
160938,78,2,reg+A,Ed.D/Ph.D,1,15,W,627,561,N,rural,F,W,1980:3,1980,2,1354
8862,7,3,small,BS/BA,3,23,W,565,601,N,rural,M,W,1979:2,1979,3,105
64550,47,2,small,MS/MA/MEd,NOT,35,W,573,584,N,rural,M,W,1979:4,1979,2,786
