exterior_color,interior_color,drivetrain,fuel_type,transmission,engine,vin,mileage,seller,reviews_count,seller_state,new_used,brand,comfort,interior_design,performance,value_for_the_money,exterior_styling,reliability,price,rating,year,model,features
teak_brown_metallic,brown,all_wheel_drive,gasoline,8_speed_automatic,2.0l_i4_16v_gdi_dohc_turbo,wa1lfafp7da083989,155996,jeff_wyler_honda_of_colerain,,oh,used,audi,4.7,4.7,4.5,4.2,4.6,4.3,11789.0,4.7,2013,q5_2.0t_premium_plus,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""homelink"", ""leather_seats"", ""memory_seat"", ""power_liftgate"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
white,black,all_wheel_drive,gasoline,6_speed_automatic_with_auto_shift,5.2l_v10_40v_gdi_dohc,wuavnafg5bn000313,20829,audi_modesto,,ca,used,audi,4.8,4.9,5.0,4.9,4.9,5.0,93500.0,5.0,2011,r8_5.2_quattro_spyder,"[""alloy_wheels"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""homelink"", ""leather_seats"", ""navigation_system"", ""premium_sound_system"", ""stability_control""]"
lunar_white,chestnut_tan,rear_wheel_drive,gasoline,automatic,8_cylinder_engine,scfsmgaw9lgn03208,7683,cadillac_of_norwood,,ma,used,aston,4.5,3.7,4.0,3.7,4.5,3.7,147900.0,4.5,2020,martin_vantage_coupe,"[""alloy_wheels"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""keyless_start"", ""lane_departure_warning"", ""leather_seats"", ""led_headlights"", ""memory_seat"", ""navigation_system"", ""stability_control"", ""usb_port""]"
vesuvio_gray_metallic,red_/_black,rear_wheel_drive,gasoline,8_speed_automatic,2.0l_i4_16v_gdi_sohc_turbo,zarfambnxm7647015,10242,russell_westbrook_alfa_romeo_maserati_fiat,106,ca,used,alfa,5.0,5.0,5.0,5.0,5.0,5.0,34495.0,4.5,2021,romeo_giulia_ti,"[""alloy_wheels"", ""apple_carplay/android_auto"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""heated_steering_wheel"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""remote_start"", ""stability_control"", ""sunroof/moonroof""]"
ibis_white,black,front_wheel_drive,diesel,6_speed_automatic_with_auto_shift,2.0l_i4_16v_ddi_dohc_turbo_diesel,waukjafm5da019856,78132,cardirect,,va,used,audi,4.4,4.5,4.4,4.5,4.7,4.5,19900.0,4.9,2013,a3_2.0_tdi_premium,"[""alloy_wheels"", ""brake_assist"", ""leather_seats"", ""stability_control""]"
ibis_white,,front_wheel_drive,gasoline,automatic_cvt,2.0l_i4_16v_gdi_dohc_turbo,waucfafc4en069297,81429,sullivan_auto_trading_inc.,,va,used,audi,4.8,4.9,4.7,4.5,4.9,4.7,19988.0,4.7,2014,a6_2.0t_premium,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""homelink"", ""leather_seats"", ""memory_seat"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
black,black,all_wheel_drive,gasoline,8_speed_automatic,4.0l_v8_32v_gdi_dohc_twin_turbo,wuaw2cfc4en901537,54715,tcf_auto_wholesale,,mi,used,audi,5.0,4.7,5.0,4.5,4.7,4.5,54440.0,4.8,2014,rs_7_4.0t_prestige,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""power_liftgate"", ""premium_sound_system"", ""stability_control""]"
white,black,all_wheel_drive,gasoline,8_speed_automatic,2.0l_i4_16v_gdi_dohc_turbo,wa1lfafp3ea100191,60828,carmax_mechanicsburg___now_offering_curbside_pickup,,pa,used,audi,4.7,4.8,4.7,4.5,4.8,4.7,25998.0,1.7,2014,q5_2.0t_premium_plus,"[""alloy_wheels"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""homelink"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
china_gray,gray,rear_wheel_drive,gasoline,8_speed_automatic,5.2l_v12_48v_gdi_dohc_twin_turbo,scfrmfav6hgl02762,7453,silicon_auto_group_llc,,tx,used,aston,5.0,5.0,5.0,4.7,5.0,4.7,144880.0,5.0,2017,martin_db11_v12,"[""backup_camera"", ""bluetooth"", ""brake_assist"", ""keyless_start"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""stability_control"", ""usb_port""]"
carrara_white,black,all_wheel_drive,gasoline,automatic,intercooled_supercharger_premium_unleaded_v_6_3.0_l/183,wa1lgafe2ed018463,58141,ed_martin_acura,164,in,used,audi,4.8,4.7,4.9,4.6,4.8,4.8,21933.0,5.0,2014,q7_3.0t_premium_plus,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""homelink"", ""leather_seats"", ""navigation_system"", ""power_liftgate"", ""stability_control"", ""sunroof/moonroof"", ""third_row_seating""]"
havanna_black_metallic,black,all_wheel_drive,gasoline,8_speed_automatic,4.0l_v8_32v_gdi_dohc_twin_turbo,waur2afd6dn019742,78672,auto_park_imports,,il,used,audi,4.9,5.0,4.9,4.7,4.8,4.6,27950.0,4.7,2013,a8_l_4.0t,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""heated_steering_wheel"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
mythos_black_metallic,black,all_wheel_drive,gasoline,8_speed_automatic,3.0l_v6_24v_gdi_dohc_supercharged,wauwgafc8gn126954,70902,driven_auto_sales,,il,used,audi,4.7,4.6,4.9,4.3,4.9,4.7,34980.0,4.6,2016,a7_3.0t_premium_plus,"[""alloy_wheels"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""homelink"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""power_liftgate"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
silver,black,all_wheel_drive,e85_flex_fuel,8_speed_automatic,2.0l_i4_16v_gdi_dohc_turbo_flexible_fuel,waumfafr8fa004325,58866,carvana_touchless_delivery_to_your_home,,,used,audi,4.8,4.7,4.7,4.6,4.9,4.9,24990.0,4.2,2015,a5_2.0t_premium_plus,"[""alloy_wheels"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""homelink"", ""keyless_start"", ""leather_seats"", ""navigation_system"", ""premium_sound_system"", ""stability_control""]"
daytona_gray_pearl_effect,black,all_wheel_drive,gasoline,8_speed_a/t,v6_cylinder_engine,wa1lgafe2ed001792,74882,americarna_auto_sales,,ny,used,audi,4.7,4.7,4.9,4.5,4.9,4.7,17995.0,4.7,2014,s5_3.0t_premium,"[""alloy_wheels"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""homelink"", ""leather_seats"", ""navigation_system"", ""power_liftgate"", ""stability_control"", ""sunroof/moonroof"", ""third_row_seating""]"
black,,front_wheel_drive,gasoline,automatic,4_cylinder_engine,wauefaflxda129193,117946,superior_auto_mall_of_chenoa,,il,used,audi,4.7,4.7,4.7,4.6,4.9,4.7,13995.0,4.4,2013,a4_2.0t_premium_plus,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""homelink"", ""leather_seats"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
scuba_blue_metallic,black,all_wheel_drive,e85_flex_fuel,8_speed_automatic,2.0l_i4_16v_gdi_dohc_turbo_flexible_fuel,wauffafl5fn023332,95209,frank_leta_honda,,mo,used,audi,4.7,4.7,4.7,4.7,4.8,4.9,17295.0,4.7,2015,a4_2.0t_premium_plus,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""homelink"", ""leather_seats"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
graphite_gray_metallic,black,all_wheel_drive,gasoline,8_speed_automatic,3.0l_v6_24v_gdi_dohc_supercharged,wa1dgafe4dd002946,100169,marin_imports,,ca,used,audi,4.5,4.0,4.1,3.9,4.4,4.1,18900.0,3.6,2013,q7_3.0t_s_line_prestige,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""power_liftgate"", ""premium_sound_system"", ""stability_control"", ""third_row_seating""]"
white,brown,all_wheel_drive,gasoline_fuel,a/t,220.0hp_2.0l_4_cylinder_engine_gasoline_fuel,waubfgff7f1070283,58838,,,,used,audi,4.6,4.5,4.6,4.4,4.6,4.4,15000.0,4.5,2015,a3_2.0t_premium,"[""bluetooth"", ""cooled_seats"", ""heated_seats"", ""leather_seats"", ""sunroof/moonroof"", ""usb_port""]"
silver,,all_wheel_drive,gasoline,8_speed_automatic,3.0l_v6_24v_gdi_dohc_supercharged,waufgafcxen076281,49678,"discovery_auto_center,_llc",,fl,used,audi,4.8,4.9,4.7,4.5,4.9,4.7,24990.0,3.8,2014,a6_3.0t_premium_plus_quattro,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
quartz_gray_metallic,light_gray,all_wheel_drive,gasoline,6_speed_automatic,2.0l_i4_16v_gdi_dohc_turbo,waumf78k99a108281,73477,premiere_motorsports,,il,used,audi,4.7,4.6,4.5,4.3,4.8,4.2,11999.0,4.4,2009,a4_2.0t_prestige_quattro,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""homelink"", ""leather_seats"", ""memory_seat"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
gray,black,front_wheel_drive,gasoline,6_speed_automatic_with_auto_shift,1.8l_i4_16v_gdi_dohc_turbo,wauacgff5f1029980,101000,carmel_auto_group,,in,used,audi,4.6,4.5,4.6,4.4,4.6,4.4,15900.0,4.0,2015,a3_1.8t_premium,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""leather_seats"", ""stability_control""]"
alfa_white,black_/_tan,rear_wheel_drive,gasoline,8_speed_automatic,2.0l_i4_16v_gdi_sohc_turbo,zarfaman5k7599566,40808,alfa_romeo_fiat_of_winter_haven,,fl,used,alfa,4.7,4.7,4.8,4.5,5.0,4.3,30399.0,4.7,2019,romeo_giulia_base,"[""alloy_wheels"", ""apple_carplay/android_auto"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""keyless_start"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""remote_start"", ""stability_control"", ""usb_port""]"
montecarlo_blue_metallic,black,all_wheel_drive,gasoline,8_speed_automatic,2.0l_i4_16v_gdi_sohc_turbo,zaspakan5k7c31625,19922,twin_pine_auto_group,,pa,used,alfa,4.6,4.4,4.7,4.6,4.8,4.5,35800.0,4.7,2019,romeo_stelvio_base,"[""alloy_wheels"", ""apple_carplay/android_auto"", ""backup_camera"", ""blind_spot_monitor"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""heated_steering_wheel"", ""keyless_start"", ""leather_seats"", ""memory_seat"", ""power_liftgate"", ""remote_start"", ""stability_control"", ""usb_port""]"
gray,black,all_wheel_drive,gasoline,6_speed_automatic_with_auto_shift,2.0l_i4_16v_gdi_dohc_turbo,wauefgff5f1103469,57510,s_&_j_motor_company,,nh,used,audi,4.6,4.5,4.6,4.4,4.6,4.4,21995.0,4.8,2015,a3_2.0t_premium_plus,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""leather_seats"", ""stability_control""]"
vulcano_black_metallic,black,all_wheel_drive,gasoline,8_speed_automatic,2.0l_i4_16v_gdi_sohc_turbo,zasfakbnxj7c17728,16022,van_horn_alfa_romeo_davenport,,ia,used,alfa,4.7,4.5,4.9,4.5,4.8,4.6,28985.0,4.9,2018,romeo_stelvio_ti,"[""alloy_wheels"", ""apple_carplay/android_auto"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""heated_steering_wheel"", ""leather_seats"", ""memory_seat"", ""power_liftgate"", ""remote_start"", ""stability_control""]"
white,titanium_gray,all_wheel_drive,e85_flex_fuel,8_speed_automatic,2.0l_i4_16v_gdi_dohc_turbo_flexible_fuel,wa1l2afp5ga081481,67847,carvana_touchless_delivery_to_your_home,,,used,audi,4.8,4.8,4.8,4.6,4.7,4.7,25990.0,4.2,2016,q5_2.0t_premium_plus,"[""alloy_wheels"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""homelink"", ""keyless_start"", ""leather_seats"", ""navigation_system"", ""power_liftgate"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
mugello_blue_pearl,tuscan_brown,all_wheel_drive,gasoline,6_speed_manual,4.2l_v8_32v_gdi_dohc,wuaau34218n005604,12488,tri_city_auto_gallery,,co,used,audi,4.0,4.6,4.4,4.3,4.9,4.1,104900.0,5.0,2008,r8,"[""alloy_wheels"", ""brake_assist"", ""heated_seats"", ""leather_seats"", ""premium_sound_system"", ""stability_control""]"
monsoon_gray_metallic,,all_wheel_drive,gasoline,6_speed_manual,2.0l_i4_16v_gdi_dohc_turbo,waumfafl8dn011664,90308,bmw_of_dallas,,tx,used,audi,4.7,4.7,4.7,4.6,4.9,4.7,17895.0,4.6,2013,a4_2.0t_prestige_quattro,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""keyless_start"", ""leather_seats"", ""navigation_system"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
black,,front_wheel_drive,gasoline,6_speed_automatic_with_auto_shift,1.8l_i4_16v_gdi_dohc_turbo,wauacgff0f1002959,77962,stg_auto_group_of_montclair,,ca,used,audi,4.6,4.5,4.6,4.4,4.6,4.4,16777.0,4.7,2015,a3_1.8t_premium,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""leather_seats"", ""stability_control"", ""sunroof/moonroof""]"
white,black_/_silver,all_wheel_drive,gasoline,7_speed_automatic_with_auto_shift,3.0l_v6_24v_gdi_dohc_supercharged,waucgafr0ea001846,101733,dfw_auto_and_services_llc,,tx,used,audi,4.7,4.7,4.9,4.5,4.9,4.7,21995.0,3.1,2014,s5_3.0t_premium_plus_quattro,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""leather_seats"", ""memory_seat"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
white,tan,four_wheel_drive,diesel,4_speed_automatic,6.5l_v8_16v_di_ohv_turbo_diesel,137za8439te171752,70472,bmw_of_san_luis_obispo,31,ca,used,am,3.5,2.5,4.5,4.0,4.5,5.0,86888.0,5.0,1996,general_hummer_wagon,String[]
brilliant_black,black,all_wheel_drive,gasoline,6_speed_automatic,4.2l_v8_32v_gdi_dohc,wauvvafr3ba012740,103363,bob_howard_chevrolet,,ok,used,audi,4.7,4.8,4.8,4.4,5.0,4.8,20509.0,4.5,2011,s5_4.2_prestige_quattro,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""homelink"", ""leather_seats"", ""stability_control""]"
brilliant_black,light_gray,all_wheel_drive,gasoline,8_speed_automatic,2.0l_i4_16v_gdi_dohc_turbo,wa1cfafpxca008850,121068,noblesville_imports,,in,used,audi,4.7,4.7,4.7,4.3,4.8,4.5,13500.0,4.5,2012,q5_2.0t_premium,"[""alloy_wheels"", ""brake_assist"", ""homelink"", ""leather_seats"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
quartz_gray_metallic,black,all_wheel_drive,gasoline,8_speed_automatic,2.0l_i4_16v_gdi_dohc_turbo,waugfafc9en056675,94634,grand_motorcars_kennesaw,,ga,used,audi,4.8,4.9,4.7,4.5,4.9,4.7,18996.0,1.9,2014,a6_2.0t_premium_plus_quattro,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""homelink"", ""leather_seats"", ""memory_seat"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
gray,,all_wheel_drive,e85_flex_fuel,8_speed_automatic,2.0l_i4_16v_gdi_dohc_turbo_flexible_fuel,wa1lfbfp5fa138576,117729,springfield_select_autos,,il,used,audi,4.7,4.5,4.7,4.3,4.7,4.6,18488.0,3.6,2015,q5_2.0t_premium_plus,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""homelink"", ""leather_seats"", ""power_liftgate"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
blue,,all_wheel_drive,gasoline,8_speed_automatic,3.0l_v6_24v_gdi_dohc_supercharged,wa1cgafp1fa088816,78854,auto_show_us,,nj,used,audi,4.5,4.2,4.8,4.2,4.8,4.3,26995.0,3.6,2015,sq5_3.0t_premium_plus,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""leather_seats"", ""memory_seat"", ""power_liftgate"", ""premium_sound_system"", ""stability_control""]"
silver,silver,all_wheel_drive,gasoline,6_speed_automatic,3.2l_v6_24v_gdi_dohc,wa1wkafp4ba074060,119431,diversified_auto_sales,,oh,used,audi,4.7,4.6,4.4,4.1,4.7,4.2,12881.0,4.4,2011,q5_prestige,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""homelink"", ""lane_departure_warning"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""power_liftgate"", ""premium_sound_system"", ""stability_control"", ""tow_hitch""]"
silver,black,front_wheel_drive,gasoline_fuel,cvt_transmission,211.0hp_2.0l_4_cylinder_engine_gasoline_fuel,wauafafl0da167501,92200,,,,used,audi,4.7,4.7,4.7,4.6,4.9,4.7,12000.0,4.7,2013,a4_2.0t_premium,"[""bluetooth"", ""stability_control"", ""sunroof/moonroof""]"
black,gray,all_wheel_drive,e85_flex_fuel,8_speed_automatic,2.0l_i4_16v_gdi_dohc_turbo_flexible_fuel,waubfafl8fn045081,98271,honda_of_jefferson_city,,mo,used,audi,4.7,4.7,4.7,4.7,4.8,4.9,17374.0,4.7,2015,a4_2.0t_premium,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""homelink"", ""leather_seats"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
black,black,all_wheel_drive,gasoline,8_speed_automatic,2.0l_i4_16v_gdi_sohc_turbo,zarfaedn5h7556078,27799,good_chevrolet,,wa,used,alfa,4.6,4.7,4.9,4.5,5.0,4.4,29546.0,4.4,2017,romeo_giulia_base,"[""adaptive_cruise_control"", ""alloy_wheels"", ""backup_camera"", ""blind_spot_monitor"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""keyless_start"", ""leather_seats"", ""remote_start"", ""stability_control"", ""usb_port""]"
gray,sport,rear_wheel_drive,gasoline,8_speed_automatic,2.0l_i4_16v_gdi_sohc_turbo,zarfambn6k7600805,23240,bill_luke_santan,,az,used,alfa,4.7,4.7,4.8,4.5,5.0,4.3,32250.0,4.8,2019,romeo_giulia_ti,"[""alloy_wheels"", ""apple_carplay/android_auto"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""heated_steering_wheel"", ""keyless_start"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""remote_start"", ""stability_control"", ""usb_port""]"
ice_silver_metallic,black,all_wheel_drive,gasoline,8_speed_automatic,2.0l_i4_16v_gdi_dohc_turbo,wa1lfafp1da023691,76235,performance_ford_lincoln_bountiful,,ut,used,audi,4.7,4.7,4.5,4.2,4.6,4.3,19592.0,4.4,2013,q5_2.0t_premium_plus,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""homelink"", ""leather_seats"", ""memory_seat"", ""power_liftgate"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
white,,all_wheel_drive,gasoline,8_speed_automatic,3.0l_v6_24v_gdi_dohc_supercharged,wauggafc2cn062425,79178,car_depot,,ca,used,audi,4.8,4.7,4.7,4.5,4.7,4.6,17795.0,4.1,2012,a6_3.0t_premium_quattro,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""leather_seats"", ""memory_seat"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
white_tri_coat,black,all_wheel_drive,gasoline,8_speed_automatic,2.9l_v6_24v_gdi_dohc_twin_turbo,zasfakev9j7c18090,31237,ray_skillman_alfa_romeo_fiat_south_&_certified_used_cars,,in,used,alfa,4.7,4.5,4.9,4.5,4.8,4.6,61988.0,4.8,2018,romeo_stelvio_quadrifoglio,"[""alloy_wheels"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""heated_steering_wheel"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""power_liftgate"", ""premium_sound_system"", ""remote_start"", ""stability_control""]"
mythos_black_metallic,black,all_wheel_drive,gasoline,6_speed_manual,2.0l_i4_16v_gdi_dohc_turbo,wauhfafl3fn008983,79045,selden_motors,,pa,used,audi,4.7,4.7,4.7,4.7,4.8,4.9,20900.0,3.6,2015,a4_2.0t_premium_plus,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""homelink"", ""leather_seats"", ""memory_seat"", ""premium_sound_system"", ""stability_control""]"
vulcano_black_metallic,red,all_wheel_drive,gasoline,8_speed_automatic,2.9l_v6_24v_gdi_dohc_twin_turbo,zasfakev0j7c13313,34984,faulkner_maserati_alfa_romeo_willow_grove,,pa,used,alfa,4.7,4.5,4.9,4.5,4.8,4.6,57998.0,5.0,2018,romeo_stelvio_quadrifoglio,"[""alloy_wheels"", ""apple_carplay/android_auto"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""heated_steering_wheel"", ""homelink"", ""keyless_start"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""power_liftgate"", ""premium_sound_system"", ""remote_start"", ""stability_control""]"
